City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,39,6,28,0.4,4,122,63,6
阿克苏地区,145,62,238,0.4,21,76,56,7
阿拉善盟,56,17,53,0.47,6,121,105,7
阿勒泰地区,41,2,9,0.6,3,86,80,1
阿里地区,51,18,50,0.45,10,96,66,6
安康,31,9,24,0.5,6,97,47,8
安庆,85,62,84,0.75,26,159,133,14
鞍山,85,38,77,0.89,18,169,140,14
安顺,27,8,12,0.63,11,68,52,15
安阳,95,70,138,1.54,38,91,37,15
白城,45,9,31,0.2,7,107,89,7
百色,45,12,44,1.4,18,22,22,15
白山,69,30,85,0.6,9,164,94,10
白银,112,30,171,0.5,17,79,62,9
保定,133,101,154,1.13,30,179,76,25
宝鸡,56,21,59,0.66,28,79,30,5
保山,100,64,148,0.5,8,151,117,9
包头,56,31,60,0.36,8,122,65,7
巴彦淖尔,49,10,48,0.33,10,119,81,5
巴中,28,14,27,0.55,12,68,27,3
北海,48,31,47,1.2,18,35,29,7
北京,138,105,110,0.76,31,157,72,9
蚌埠,76,55,75,0.68,23,176,111,17
本溪,74,32,76,1.12,19,178,115,18
毕节,41,9,24,0.6,9,93,81,8
滨州,111,75,170,0.97,18,143,86,22
博州,43,15,30,0.4,11,99,85,9
亳州,56,26,51,0.65,13,131,105,6
沧州,122,92,142,0.8,21,155,82,20
长春,109,52,166,0.76,24,110,107,5
常德,65,46,62,1.02,12,105,74,9
昌都,63,44,58,0.5,11,123,82,5
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,103,28,153,0.25,11,98,75,6
长沙,92,68,69,0.93,28,55,52,6
常熟,92,68,81,1.37,34,123,50,26
长治,85,62,96,0.98,20,165,72,24
常州,70,50,70,0.92,40,145,73,16
朝阳,77,12,56,0.63,8,131,131,10
潮州,80,54,75,0.87,12,183,131,16
承德,76,42,100,1.04,21,165,87,32
成都,49,24,48,0.54,31,88,44,10
郴州,28,10,27,1.36,17,53,43,6
赤峰,83,21,113,0.33,13,96,87,5
池州,91,67,98,1.05,45,98,55,21
重庆,29,16,28,0.73,27,70,34,6
崇左,43,30,0,1.1,15,43,27,5
楚雄州,69,48,86,0.65,9,149,95,9
滁州,127,96,173,1.1,84,97,42,22
大连,98,73,133,1.07,47,121,102,19
大理州,67,34,54,0.55,14,151,119,6
丹东,76,55,76,0.68,18,173,124,15
大庆,46,16,42,0.38,9,104,91,4
大同,60,16,67,0.44,6,121,71,10
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,55,7,17,0.5,8,107,104,11
达州,32,12,20,0.6,14,91,63,12
德宏州,154,117,179,1.15,28,176,66,21
德阳,62,30,71,0.63,32,94,41,10
德州,125,94,128,1.2,19,124,64,12
定西,64,16,75,0.25,10,121,61,5
迪庆州,62,8,72,0.4,1,140,99,15
东莞,92,68,75,1.16,60,28,16,17
东营,113,70,146,1.02,22,223,116,43
鄂尔多斯,57,8,61,0.52,10,128,98,11
恩施州,37,25,36,0.8,14,60,26,4
鄂州,71,51,86,1.0,27,95,62,8
防城港,29,19,28,1.07,13,51,32,8
佛山,88,65,90,1.29,77,10,7,11
抚顺,80,45,108,0.72,19,178,123,18
阜新,82,20,111,0.38,10,118,105,10
阜阳,80,58,70,0.5,10,135,95,7
富阳,77,40,70,0.8,10,180,107,13
福州,72,37,73,0.98,28,158,125,6
抚州,80,58,88,0.78,11,110,92,50
甘南州,59,29,47,0.4,14,124,109,9
赣州,66,47,57,1.64,20,59,55,10
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,52,30,52,0.45,8,97,84,11
广安,30,7,17,0.6,4,92,59,8
广元,48,12,47,0.63,20,67,26,21
广州,75,54,67,1.11,60,19,11,8
贵港,38,23,37,0.95,19,32,26,11
桂林,52,28,51,0.9,16,66,51,8
贵阳,28,13,27,0.55,21,52,35,7
果洛州,57,36,61,0.7,11,31,53,17
固原,80,23,107,0.4,11,117,74,5
哈尔滨,62,13,72,0.65,14,106,88,5
海北州,77,34,101,0.4,4,128,95,14
海东地区,54,36,56,0.7,12,121,65,10
海口,34,17,33,0.63,14,38,27,5
海门,42,20,41,0.73,30,85,80,12
海南州,39,20,36,0.5,7,102,76,7
海西州,47,25,42,0.6,7,100,92,21
哈密地区,82,48,111,0.85,8,141,104,4
邯郸,122,92,148,1.58,41,130,47,29
杭州,110,66,107,0.93,38,218,112,13
汉中,45,26,44,1.35,14,96,40,14
鹤壁,108,80,136,1.27,43,102,44,18
河池,48,13,47,0.97,16,26,17,7
合肥,82,60,103,0.75,45,123,58,11
鹤岗,61,16,33,0.4,7,124,112,5
黑河,53,10,53,0.3,7,98,94,9
衡水,167,126,161,1.5,27,126,53,21
衡阳,41,24,40,1.02,22,60,45,18
和田地区,500,172,913,0.3,4,85,68,10
河源,56,39,47,0.87,14,69,56,9
菏泽,68,37,83,1.23,17,135,94,13
贺州,54,37,47,1.1,17,40,32,7
红河州,66,15,27,0.57,7,127,118,7
淮安,69,49,84,0.72,17,167,104,15
淮北,61,43,45,0.73,16,139,105,12
怀化,45,26,44,1.06,19,48,47,6
淮南,98,73,87,0.65,19,173,118,12
黄冈,72,44,91,1.1,20,110,72,15
黄南州,49,21,42,1.0,7,121,96,9
黄山,71,51,73,0.8,14,104,63,7
黄石,78,57,95,1.25,33,85,43,31
呼和浩特,60,15,68,0.7,19,118,56,10
惠州,71,51,72,0.84,31,74,61,9
葫芦岛,105,78,106,2.03,52,132,94,25
呼伦贝尔,50,10,16,0.3,8,112,98,3
湖州,81,59,89,1.07,50,151,82,19
佳木斯,68,40,84,0.34,11,114,100,6
吉安,85,62,96,0.78,18,84,74,16
江门,88,65,119,1.38,77,19,8,11
江阴,111,83,125,1.0,62,146,57,24
胶南,86,63,103,0.8,37,157,88,21
胶州,107,62,112,0.8,42,212,139,29
焦作,65,46,70,1.0,24,108,50,17
嘉兴,107,40,65,1.13,22,212,112,10
嘉峪关,70,27,87,0.4,9,129,90,3
揭阳,87,56,90,1.08,18,188,126,15
吉林,94,69,136,1.0,20,130,130,13
即墨,104,37,97,0.95,27,205,130,16
济南,82,60,96,0.78,19,135,100,12
金昌,68,18,83,0.2,6,121,90,3
晋城,74,53,89,1.56,26,130,49,16
景德镇,67,47,81,0.84,30,107,67,25
荆门,63,37,74,0.88,21,106,71,40
荆州,65,46,74,0.97,17,168,90,17
金华,105,40,80,0.77,20,208,121,10
济宁,65,32,77,0.7,12,147,94,13
金坛,87,55,97,0.8,28,188,103,28
晋中,106,79,127,0.9,32,148,66,28
锦州,100,75,105,1.38,45,138,88,26
九江,67,41,81,0.6,32,116,98,12
酒泉,86,23,119,0.2,6,123,91,7
鸡西,64,17,76,0.43,9,107,92,3
句容,95,66,138,0.75,24,186,70,17
开封,58,27,63,0.87,21,111,56,15
喀什地区,54,15,55,0.4,14,101,102,4
克拉玛依,53,13,35,0.62,6,91,102,4
克州,63,3,20,0.7,5,112,114,3
库尔勒,157,119,215,0.2,9,93,81,7
昆明,76,55,83,0.95,22,108,107,8
昆山,59,39,66,0.65,30,156,63,13
来宾,54,37,52,1.0,22,32,32,4
莱芜,86,63,89,0.8,13,149,95,17
莱西,104,38,113,0.8,17,206,112,18
莱州,101,59,150,0.95,18,190,116,27
廊坊,109,81,150,1.33,25,162,83,20
兰州,81,33,109,0.62,24,134,76,9
拉萨,71,33,89,0.44,15,125,65,9
乐山,55,36,58,0.6,27,95,36,27
凉山州,48,11,25,0.8,9,102,94,11
连云港,65,46,53,0.52,17,150,92,12
聊城,110,82,92,0.9,15,125,67,14
辽阳,94,45,81,0.78,18,185,151,19
辽源,71,31,46,0.95,35,142,124,12
丽江,62,17,71,0.77,8,120,106,11
临安,99,48,71,0.75,6,198,125,15
临沧,103,76,133,0.75,12,178,94,10
临汾,124,93,130,1.91,22,112,57,27
