City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,31,17,30,0.83,18,43,49,13
阿克苏地区,118,73,184,2.55,48,15,25,11
阿拉善盟,58,35,64,1.7,49,53,66,19
阿勒泰地区,38,16,0,1.1,28,67,74,2
阿里地区,119,89,106,3.0,89,8,28,71
安康,69,49,78,0.87,28,20,15,23
安庆,78,43,103,0.63,66,69,54,24
鞍山,64,39,75,1.71,34,33,29,62
安顺,99,74,107,1.05,39,39,49,104
安阳,48,26,47,0.86,28,49,18,16
白城,128,97,75,1.5,32,55,53,36
百色,70,50,77,1.45,24,8,6,14
白山,120,90,100,1.5,32,30,28,64
白银,116,47,180,1.4,40,13,23,52
保定,52,26,52,0.77,37,40,39,35
宝鸡,94,70,119,1.61,60,23,22,56
保山,56,30,59,1.6,46,8,20,23
包头,54,24,55,1.23,43,40,51,23
巴彦淖尔,74,44,96,1.3,44,23,21,27
巴中,85,62,94,1.02,31,21,27,4
北海,49,34,48,1.02,21,49,47,13
北京,25,8,24,0.49,15,50,47,6
蚌埠,92,68,118,1.0,57,46,30,24
本溪,100,61,147,2.08,33,27,16,60
毕节,93,69,124,1.5,58,10,29,26
滨州,25,12,24,0.97,17,34,33,20
博州,86,63,107,2.15,38,21,30,32
亳州,99,74,110,0.95,39,42,33,32
沧州,45,19,44,0.33,13,51,46,20
长春,96,71,81,1.2,38,42,31,41
常德,106,79,107,1.82,36,13,13,20
昌都,42,15,41,1.25,17,40,45,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,479,185,578,3.43,63,44,46,20
长沙,77,56,99,1.21,60,8,5,11
常熟,120,90,131,0.93,66,35,22,43
长治,89,66,98,2.68,67,22,17,79
常州,80,58,96,1.38,68,18,9,25
朝阳,41,16,40,0.7,11,61,54,23
潮州,52,15,51,0.6,13,78,78,12
承德,32,17,31,0.46,11,54,51,11
成都,165,125,195,2.02,83,22,30,18
郴州,59,38,65,1.9,50,16,12,32
赤峰,28,15,27,0.83,15,47,49,19
池州,64,40,75,0.73,44,60,31,12
重庆,92,68,120,1.31,73,13,13,15
崇左,60,36,68,1.1,31,12,5,12
楚雄州,83,61,100,1.25,32,22,21,26
滁州,103,76,115,1.2,87,19,20,16
大连,46,9,45,0.56,12,64,59,12
大理州,56,32,59,1.25,30,14,33,6
丹东,27,14,26,0.55,11,54,47,14
大庆,39,27,33,0.92,36,47,51,26
大同,63,44,60,2.77,36,32,34,81
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,53,35,53,0.9,16,66,62,16
达州,130,98,152,1.58,42,29,23,15
德宏州,74,53,90,1.3,30,6,5,11
德阳,178,134,236,2.38,70,21,19,15
德州,23,6,22,0.93,24,47,38,13
定西,174,131,160,2.0,37,13,9,116
迪庆州,53,23,53,1.25,19,47,47,17
东莞,41,23,40,0.68,37,64,50,16
东营,48,13,47,0.63,17,45,39,24
鄂尔多斯,52,22,51,1.46,41,45,49,33
恩施州,92,68,89,1.5,23,12,8,11
鄂州,85,60,117,1.6,58,18,7,40
防城港,54,32,56,0.73,23,56,56,14
佛山,54,28,56,0.55,47,42,33,18
抚顺,158,120,114,1.3,46,31,19,25
阜新,38,14,37,0.4,8,72,71,44
阜阳,80,58,90,0.83,35,49,51,38
富阳,79,50,106,0.9,45,71,59,16
福州,39,16,38,0.55,21,77,66,8
抚州,86,63,81,0.96,36,8,4,44
甘南州,74,42,95,2.1,57,18,8,36
赣州,71,51,87,2.0,28,19,26,61
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,41,21,40,0.5,24,54,58,14
广安,92,68,121,1.22,41,21,17,25
广元,75,34,98,1.4,64,8,15,23
广州,42,20,41,0.63,42,54,40,11
贵港,68,42,83,0.75,34,32,28,18
桂林,67,48,76,0.88,36,56,46,31
贵阳,88,65,112,1.25,53,17,20,68
果洛州,78,52,103,1.5,45,38,46,77
固原,64,45,73,3.47,75,23,33,50
哈尔滨,87,64,66,1.2,39,48,43,62
海北州,34,21,29,0.5,21,70,67,16
海东地区,86,63,85,1.7,46,17,6,35
海口,32,9,26,0.48,17,57,62,6
海门,75,54,96,0.73,37,38,31,18
海南州,55,38,54,1.4,27,38,34,10
海西州,37,22,22,0.7,15,67,72,15
哈密地区,99,74,80,3.5,49,5,10,8
邯郸,48,24,47,0.68,21,56,26,9
杭州,64,34,76,0.9,54,39,34,17
汉中,139,106,126,1.75,46,17,15,22
鹤壁,53,35,53,1.2,33,41,25,15
河池,78,44,103,1.03,43,7,4,16
合肥,76,45,100,1.0,70,30,17,14
鹤岗,34,15,25,0.47,9,71,67,6
黑河,44,15,25,0.6,8,84,86,10
衡水,41,19,40,0.6,12,56,46,5
衡阳,94,70,100,1.4,49,8,3,34
和田地区,193,145,327,3.95,69,25,23,49
河源,38,18,35,0.7,17,83,74,10
菏泽,68,25,83,1.1,35,46,23,11
贺州,61,39,70,1.45,36,25,21,10
红河州,75,54,76,0.57,11,45,48,9
淮安,81,31,109,0.8,43,30,9,23
淮北,121,91,141,1.07,52,16,10,40
怀化,89,66,97,2.06,39,17,10,21
淮南,76,55,87,0.7,39,49,47,23
黄冈,68,41,83,0.9,34,32,21,12
黄南州,36,16,35,0.7,6,46,48,6
黄山,49,18,48,0.4,23,44,33,7
黄石,72,52,87,1.28,48,31,14,35
呼和浩特,77,56,82,1.98,58,22,42,44
惠州,47,18,46,0.86,21,76,75,10
葫芦岛,44,16,43,1.1,15,59,54,26
呼伦贝尔,33,23,27,0.7,12,46,53,7
湖州,92,68,93,1.09,63,46,31,27
佳木斯,30,18,27,0.38,13,63,59,13
吉安,67,48,74,0.9,32,17,8,47
江门,45,26,44,0.7,45,45,34,10
江阴,117,88,143,1.13,57,25,10,48
胶南,57,23,61,0.6,24,40,28,20
胶州,54,25,56,0.85,27,35,19,33
焦作,60,41,68,1.15,31,43,38,19
嘉兴,76,55,88,1.0,52,33,14,32
嘉峪关,40,14,39,0.7,40,43,44,3
