City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,58,2,14,0.47,8,114,108,5
阿克苏地区,119,57,185,0.35,11,107,99,5
阿拉善盟,273,111,400,0.4,4,120,114,8
阿勒泰地区,50,0,11,0.75,3,117,98,1
阿里地区,64,19,75,0.4,6,100,88,4
安康,75,30,60,0.47,6,153,128,6
安庆,74,25,55,0.35,11,132,127,8
鞍山,45,29,43,1.41,26,116,88,7
安顺,62,27,62,0.48,7,124,113,2
安阳,110,82,125,1.78,24,185,108,7
白城,56,8,41,0.3,7,97,105,9
百色,64,18,75,0.8,13,115,110,14
白山,36,12,35,0.9,10,61,67,8
白银,116,81,179,0.4,9,99,100,4
保定,87,64,90,1.0,17,185,123,7
宝鸡,106,42,120,0.56,15,192,165,6
保山,58,19,45,0.5,6,111,108,5
包头,113,31,173,0.4,11,90,97,5
巴彦淖尔,53,19,51,0.43,12,90,102,6
巴中,88,31,55,0.57,12,165,144,7
北海,36,8,25,0.5,7,79,71,7
北京,138,105,89,1.67,22,211,134,2
蚌埠,47,23,40,0.47,28,93,92,13
本溪,35,14,34,1.33,21,47,53,10
毕节,86,33,59,0.7,8,174,142,14
滨州,63,29,0,0.77,16,104,114,5
博州,50,12,24,0.2,6,115,99,9
亳州,61,27,45,0.55,10,107,112,8
沧州,67,48,59,0.63,20,141,116,9
长春,54,25,55,0.68,26,50,52,4
常德,56,23,41,0.86,6,105,105,7
昌都,69,15,33,0.55,8,133,121,5
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,47,12,20,0.4,8,114,93,6
长沙,59,20,42,0.5,10,110,109,5
常熟,90,25,62,0.43,22,147,146,20
长治,119,83,110,0.88,10,223,179,13
常州,48,28,45,0.74,32,105,95,13
朝阳,119,34,185,0.93,9,132,134,14
潮州,59,24,60,0.8,11,113,109,11
承德,102,35,143,0.62,9,155,161,7
成都,154,67,110,0.8,25,267,218,11
郴州,46,8,43,1.06,12,91,91,11
赤峰,121,30,190,0.43,25,100,97,6
池州,53,28,41,0.37,10,114,102,13
重庆,117,21,53,0.71,20,225,177,10
崇左,61,35,48,0.6,7,130,111,6
楚雄州,66,15,29,0.4,6,124,117,11
滁州,84,15,54,0.43,22,128,139,8
大连,37,17,25,0.6,14,73,72,6
大理州,64,14,76,0.4,12,111,107,4
丹东,32,22,25,0.7,19,40,42,10
大庆,49,16,42,0.3,10,88,96,7
大同,94,37,67,0.8,17,174,151,12
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,47,3,12,0.35,10,96,93,11
达州,85,30,49,0.46,15,148,140,8
德宏州,65,28,77,0.45,17,128,104,8
德阳,124,51,96,0.63,9,200,185,7
德州,63,41,73,0.7,9,136,113,6
定西,137,70,222,0.15,8,113,103,4
迪庆州,50,9,41,0.1,4,103,99,11
东莞,39,18,32,0.46,14,99,76,4
东营,85,9,10,0.53,13,111,140,14
鄂尔多斯,263,57,393,0.53,14,97,113,9
恩施州,54,30,56,0.7,18,79,52,4
鄂州,58,17,42,0.7,14,108,108,4
防城港,38,21,37,0.57,11,47,44,10
佛山,49,22,44,0.63,23,99,96,9
抚顺,52,29,52,0.92,25,99,96,16
阜新,80,38,107,0.6,9,119,112,10
阜阳,56,9,39,0.27,17,109,106,14
富阳,56,20,40,0.7,27,114,105,8
福州,106,17,76,0.5,16,148,165,12
抚州,52,13,26,0.48,8,100,101,7
甘南州,312,117,428,0.6,14,120,120,11
赣州,69,25,47,1.26,13,140,121,4
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,71,35,86,0.4,11,141,124,1
广安,111,31,69,0.68,21,204,171,21
广元,100,28,76,0.77,20,188,159,26
广州,53,21,37,0.58,27,121,102,8
贵港,43,21,42,0.5,10,84,77,6
桂林,41,23,40,0.6,10,90,78,7
贵阳,56,27,58,0.47,14,110,106,5
果洛州,63,44,0,0.3,10,114,104,7
固原,243,87,379,0.53,12,142,115,9
哈尔滨,44,4,43,0.47,13,86,64,5
海北州,67,11,24,0.5,4,120,119,12
海东地区,165,81,277,0.9,16,104,96,14
海口,41,11,40,0.5,13,74,64,5
海门,86,30,69,0.5,22,132,142,11
海南州,50,7,24,0.5,5,95,98,7
海西州,46,15,30,0.6,9,95,91,18
哈密地区,82,4,22,0.9,19,153,137,5
邯郸,81,59,85,0.6,10,129,93,8
杭州,76,21,40,0.6,20,135,130,7
汉中,102,35,63,0.57,10,194,161,6
鹤壁,90,53,83,1.37,15,191,127,19
河池,48,25,47,0.83,9,110,95,7
合肥,86,33,86,0.55,12,158,142,5
鹤岗,34,10,16,0.38,7,71,66,6
黑河,48,17,28,0.4,11,93,95,10
衡水,83,61,83,0.63,12,131,104,8
衡阳,43,17,34,0.48,9,84,85,8
和田地区,500,708,3104,0.2,11,80,77,10
河源,57,23,40,0.6,13,147,107,5
菏泽,76,29,53,1.27,14,161,130,5
贺州,36,14,27,0.4,9,79,71,7
红河州,62,12,36,0.37,6,108,113,5
淮安,66,19,44,0.8,33,94,118,9
淮北,55,17,48,0.67,16,106,104,12
怀化,62,20,71,0.94,4,117,110,2
淮南,62,23,44,0.82,25,100,113,15
黄冈,60,13,47,0.85,13,117,110,13
黄南州,54,24,49,1.0,10,115,103,13
黄山,39,8,34,0.43,15,77,77,9
黄石,46,22,43,0.73,16,100,90,5
呼和浩特,117,48,181,0.56,15,100,102,8
惠州,53,19,53,0.48,17,81,75,5
葫芦岛,42,23,32,1.0,18,100,83,7
呼伦贝尔,59,5,26,0.3,10,113,109,3
湖州,64,45,65,0.81,41,88,97,13
佳木斯,34,7,11,0.44,12,70,67,4
吉安,76,24,46,0.43,5,140,129,10
江门,34,14,29,0.5,6,65,66,5
江阴,80,29,55,0.6,22,154,134,12
胶南,75,7,16,0.55,14,111,128,5
胶州,71,16,39,0.7,46,90,124,8
焦作,71,29,45,0.55,12,144,124,5
嘉兴,113,29,50,0.8,19,191,173,8
嘉峪关,83,33,113,0.7,16,117,106,36
揭阳,54,20,56,0.8,10,75,82,9
吉林,60,42,59,0.84,27,31,73,8
即墨,86,13,34,0.55,33,96,141,3
济南,41,11,35,0.68,21,96,81,11
金昌,77,37,101,0.23,6,112,102,14
晋城,106,79,120,0.72,12,163,154,15
景德镇,71,20,43,0.66,7,130,123,16
荆门,65,38,78,0.92,22,94,94,7
荆州,61,17,59,0.93,14,113,111,13
金华,113,21,54,0.33,22,137,173,8
济宁,87,27,122,0.73,20,128,127,17
金坛,81,19,50,0.5,6,138,136,10
晋中,150,53,106,0.83,17,228,213,8
锦州,51,17,45,0.84,25,114,100,13
九江,76,27,64,0.34,7,141,129,10
酒泉,81,23,110,0.5,6,122,113,10
鸡西,46,19,43,0.48,12,43,90,8
句容,67,21,69,0.95,19,119,119,6
开封,81,23,61,0.6,13,176,135,4
喀什地区,60,14,26,0.55,15,117,110,11
克拉玛依,61,11,21,0.45,6,131,112,6
克州,76,5,27,1.1,5,140,130,3
库尔勒,52,6,12,0.2,10,104,101,4
昆明,63,18,39,0.49,14,114,114,6
昆山,132,24,69,0.5,22,195,194,10
来宾,49,28,48,0.45,11,93,84,12
莱芜,71,27,54,1.37,19,105,123,12
莱西,65,23,45,0.4,14,121,116,5
莱州,63,25,74,0.65,21,99,113,10
廊坊,64,45,65,1.23,18,147,102,6
兰州,125,57,198,0.48,14,108,103,7
拉萨,120,46,187,0.34,16,155,147,10
乐山,102,46,73,0.68,12,201,157,6
凉山州,69,11,23,0.38,13,133,121,10
连云港,49,16,28,0.56,19,87,96,7
聊城,60,32,48,0.77,14,133,110,3
辽阳,56,31,59,1.38,25,117,84,15
辽源,59,13,53,0.6,22,42,109,20
丽江,53,19,41,0.57,7,106,102,12
临安,55,18,33,0.4,12,107,104,7
临沧,66,29,58,0.75,11,114,117,8
临汾,96,71,118,1.93,17,189,134,34
临夏州,159,82,265,0.35,8,119,110,16
临沂,44,13,27,0.5,19,125,87,11
林芝,71,15,90,0.4,6,118,108,4
林芝地区,18,4,16,0.35,6,51,35,3
丽水,62,13,31,0.47,9,101,113,6
六盘水,64,32,75,0.4,16,126,113,11
柳州,54,27,55,0.53,9,102,87,4
溧阳,74,18,25,0.8,10,135,127,17
陇南,91,44,56,0.7,16,151,147,7
龙岩,44,10,42,0.43,9,97,86,5
娄底,50,19,38,0.96,9,95,99,17
六安,66,32,72,0.48,16,128,117,5
漯河,70,35,51,1.0,7,132,122,6
洛阳,80,55,80,1.01,19,181,134,7
泸州,146,23,47,0.23,20,212,209,12
吕梁,101,43,55,1.33,11,191,160,14
马鞍山,88,23,69,0.5,11,138,144,10
茂名,25,5,24,0.4,4,38,44,4
眉山,150,45,70,0.57,16,251,213,13
梅州,41,15,32,0.7,9,84,80,5
绵阳,130,50,80,0.75,13,219,191,5
牡丹江,56,17,45,0.55,17,83,106,4
南昌,71,6,39,0.62,14,119,124,7
南充,118,50,78,0.58,16,192,178,10
南京,85,15,65,0.61,19,149,140,12
南宁,49,16,48,0.7,16,69,65,7
南平,70,19,34,0.5,6,139,122,6
南通,96,28,50,0.5,39,148,153,23
南阳,65,23,44,0.7,12,127,116,4
那曲地区,66,29,80,0.4,5,91,83,5
内江,123,35,68,0.63,15,207,184,21
宁波,77,43,66,0.69,19,142,131,6
宁德,120,28,70,1.2,20,177,180,13
怒江州,56,23,59,0.95,9,115,95,13
盘锦,67,15,25,0.8,9,123,119,8
攀枝花,66,17,30,0.83,16,135,117,21
蓬莱,63,14,44,0.4,32,115,114,7
平顶山,77,20,45,0.75,7,145,131,6
平度,73,6,18,0.7,19,105,126,6
平凉,148,76,244,0.25,6,130,116,7
萍乡,50,10,21,0.42,7,99,99,5
普洱,66,20,34,0.25,13,119,117,7
莆田,57,19,45,0.44,12,89,107,8
濮阳,77,56,88,1.27,14,148,113,9
黔东南州,61,22,35,0.45,6,114,111,3
黔南州,66,9,31,0.2,7,119,118,5
黔西南州,56,8,34,0.55,8,115,106,2
青岛,78,22,40,0.36,36,93,132,5
庆阳,186,96,320,0.4,8,139,130,5
清远,55,22,42,0.53,24,147,104,8
秦皇岛,49,25,48,0.74,28,86,56,9
钦州,28,13,27,0.6,6,58,52,8
齐齐哈尔,49,18,40,0.38,8,101,97,3
七台河,51,27,34,0.27,10,64,100,11
泉州,37,12,31,0.48,8,61,73,7
曲靖,69,23,42,0.5,8,139,121,9
