City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
林芝地区,18,4,16,0.35,6,51,35,3
福州,24,15,23,0.73,33,45,38,5
黔西南州,26,10,25,1.25,21,23,41,6
莆田,27,18,24,0.64,30,50,53,5
贺州,28,19,26,1.2,24,22,20,9
佳木斯,28,19,27,0.3,9,55,54,8
丽水,29,20,23,1.3,46,22,34,5
昌都地区,29,6,12,0.7,11,86,57,8
日喀则地区,29,6,27,0.35,2,68,56,5
三沙,30,7,20,0.3,30,51,58,6
双鸭山,30,20,29,0.28,8,52,54,8
南平,31,15,30,0.57,11,34,49,7
辽源,32,21,27,0.95,26,51,62,12
临沧,32,18,31,1.15,33,34,54,14
泉州,32,22,25,0.6,25,52,52,9
毕节,32,20,31,0.95,18,45,35,6
齐齐哈尔,33,19,28,0.4,12,68,65,18
伊春,33,12,20,0.25,6,64,64,6
烟台,33,7,27,0.35,14,60,65,7
通辽,33,15,29,0.53,9,67,64,8
延边州,33,10,18,0.4,13,67,65,16
通化,34,16,33,0.8,45,17,48,29
大庆,34,22,33,0.52,41,42,50,16
鸡西,34,14,33,0.43,8,57,56,3
瓦房店,34,22,33,0.35,17,53,55,19
吉安,35,24,21,0.97,33,11,15,23
蓬莱,35,9,19,0.4,6,70,68,6
台州,35,24,34,1.17,42,40,34,4
阿坝州,35,17,25,0.83,16,57,69,15
塔城地区,35,4,27,0.9,9,65,69,5
三明,35,24,29,0.6,19,34,52,12
阿勒泰地区,36,15,35,0.75,21,60,65,7
宁德,36,21,35,0.73,22,45,25,6
黑河,36,18,30,0.83,14,71,70,13
兴安盟,37,11,11,0.17,5,72,73,7
大兴安岭地区,37,10,25,0.5,12,73,72,14
三亚,38,17,30,0.6,17,59,74,2
乳山,38,6,33,0.4,13,57,75,9
锡林郭勒盟,38,7,37,0.5,50,30,47,65
鹰潭,38,26,29,0.72,33,28,26,29
文登,38,9,25,0.6,14,64,75,5
白城,38,16,37,0.6,10,64,63,6
楚雄州,38,14,37,0.75,17,51,63,16
保山,39,23,37,0.7,11,56,76,6
郴州,39,21,38,1.6,29,35,36,8
阿里地区,39,6,19,0.5,3,82,77,4
山南地区,40,5,21,0.45,6,65,79,4
荣成,40,13,20,0.55,7,77,78,7
凉山州,40,23,39,0.94,42,58,77,22
舟山,41,25,34,1.03,15,77,81,7
