city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,59,10,35,0.6,15,86,109,6
阿克苏地区,150,64,249,0.4,16,98,102,5
阿拉善盟,83,54,113,0.6,7,92,112,8
阿勒泰地区,61,0,14,0.7,6,114,111,2
阿里地区,87,24,122,0.45,5,104,100,4
安康,91,52,85,0.97,26,93,147,7
安庆,72,25,49,0.35,18,103,125,5
鞍山,55,34,58,1.33,40,30,89,8
安顺,66,45,63,0.6,10,108,118,5
安阳,94,70,118,1.54,31,119,145,6
白城,51,14,38,0.35,12,89,100,8
百色,60,28,48,0.8,17,89,110,12
白山,30,7,27,0.9,10,41,59,9
白银,98,53,143,0.45,8,94,99,4
保定,104,75,114,1.13,27,173,163,7
宝鸡,116,43,130,0.73,44,109,176,5
保山,61,21,63,0.5,7,115,111,6
包头,111,33,170,0.34,14,89,94,5
巴彦淖尔,47,24,43,0.5,20,75,92,5
巴中,91,59,113,1.1,57,74,147,8
北海,46,9,45,0.6,12,80,79,7
北京,117,86,103,1.72,33,149,177,2
蚌埠,47,17,23,0.47,27,109,92,9
本溪,47,25,46,1.38,35,22,44,14
毕节,103,37,66,0.8,10,153,162,7
滨州,51,25,32,1.37,26,83,100,12
博州,62,10,22,0.2,5,119,113,9
亳州,57,16,26,0.5,14,85,107,6
沧州,76,40,56,0.53,20,106,129,9
长春,60,28,68,0.92,64,13,38,4
常德,53,31,52,1.08,19,77,102,17
昌都,74,28,69,0.6,9,117,127,5
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,57,15,29,0.67,15,109,107,10
长沙,56,24,50,0.59,21,83,105,11
常熟,91,31,66,0.5,38,134,147,21
长治,149,61,84,1.08,13,160,212,7
常州,52,32,51,0.86,47,65,91,13
朝阳,83,28,109,0.83,12,125,138,15
潮州,55,25,43,1.07,22,40,104,13
承德,99,36,136,0.74,15,134,157,14
成都,181,57,92,0.93,50,162,245,9
郴州,46,9,42,1.2,14,94,90,26
赤峰,98,31,143,0.7,35,82,98,7
池州,55,29,48,0.33,12,108,104,12
重庆,148,33,75,0.84,41,166,211,11
崇左,69,35,57,0.65,11,117,121,5
楚雄州,68,22,54,0.5,10,114,120,14
滁州,66,23,80,0.63,73,58,116,7
大连,39,15,22,0.6,15,73,76,6
大理州,63,20,74,0.35,12,106,110,4
丹东,36,25,30,0.7,29,25,37,8
大庆,46,14,27,0.33,12,75,90,7
大同,99,45,92,0.67,12,104,157,14
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,48,4,14,0.35,17,84,94,9
